TIMESTAMP,U_[R350-B],V_[R350-B],W_[R350-B],T_SONIC_[R350-B],SA_DIAG_TYPE_[R350-B],SA_DIAG_VAL_[R350-B],INC_XY_[R350-B],DATA_SIZE_[IRGA75-A],STATUS_CODE_[IRGA75-A],GA_DIAG_CODE_[IRGA75-A],AGC_[IRGA75-A],H2O_CONC_[IRGA75-A],CO2_CONC_[IRGA75-A],T_BOX_[IRGA75-A],PRESS_BOX_[IRGA75-A],COOLER_V_[IRGA75-A],DATA_SIZE_[QCL-C2],STATUS_CODE_[QCL-C2],CH4_DRY_[QCL-C2],EMPTY_1_[QCL-C2],EMPTY_2_[QCL-C2],H2O_DRY_[QCL-C2],T_CELL_[QCL-C2],PRESS_CELL_[QCL-C2],STATUS_WORD_[QCL-C2],VICI_[QCL-C2],index,U_[R350-B]_TURB,V_[R350-B]_TURB,W_[R350-B]_TURB,CH4_DRY_[QCL-C2]_TURB
00:00.000,-0.06701283098564069,-0.22983599121775158,0.0041505559949062965,288.2063905272368,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2000.0008498936018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,00:00.000,-0.06701283098564069,-0.22983599121775158,0.09934283060224654,0.08498936017349953
00:00.050,0.01715976395657313,-0.02470453620754963,0.04163116450889835,288.88659928147905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1999.9997591271451,0.0,0.0,0.0,0.0,0.0,0.0,0.0,00:00.050,0.01715976395657313,-0.02470453620754963,-0.011947480695172787,-0.024087285490413717
00:00.100,-0.08033176024849141,-0.2073913325836753,0.22894962850548584,287.23801436562206,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2000.0006071222144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,00:00.100,-0.08033176024849141,-0.2073913325836753,0.16093296738479518,0.06071222143624476
00:00.150,-0.09716062454614909,0.07863713226799957,0.36927407215180885,287.90811178837026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2000.0005278636,0.0,0.0,0.0,0.0,0.0,0.0,0.0,00:00.150,-0.09716062454614909,0.07863713226799957,0.35166012794086227,0.05278635999430627
00:00.200,-0.019761504329195677,0.03433709220794494,0.025412274364303232,287.94870735264766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1999.9992364690615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,00:00.200,-0.019761504329195677,0.03433709220794494,0.015835941837484935,-0.07635309384513837
00:00.250,-0.005697920211599091,-0.08327080984247079,0.04561638977093035,287.7534421510299,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2000.0004603584912,0.0,0.0,0.0,0.0,0.0,0.0,0.0,00:00.250,-0.005697920211599091,-0.08327080984247079,0.031389841130279324,0.04603584912015575
00:00.300,-0.020278569508994152,0.0809814923707564,0.434426686169633,287.9697510669526,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2000.0007807159516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,00:00.300,-0.020278569508994152,0.0809814923707564,0.4095332203943406,0.07807159515750998
00:00.350,0.1671661887395218,0.11653252242541519,0.24305565448230157,288.30771024237515,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2000.0043274613868,0.0,0.0,0.0,0.0,0.0,0.0,0.0,00:00.350,0.1671661887395218,0.11653252242541519,0.262558566528853,0.43274613868100537
00:00.400,0.004279219816476338,0.0014265203859049555,0.0013098438638095185,287.7875627779323,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2000.0053268291513,0.0,0.0,0.0,0.0,0.0,0.0,0.0,00:00.400,0.004279219816476338,0.0014265203859049555,0.030450066395436973,0.5326829151372603
00:00.450,0.0959740111481866,-0.023212926735148343,0.2885082780372248,288.443065325163,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1999.9984646853343,0.0,0.0,0.0,0.0,0.0,0.0,0.0,00:00.450,0.0959740111481866,-0.023212926735148343,0.24800756173680757,-0.1535314665801251
00:00.500,0.2231882521134898,-0.007065411168971188,0.052301644171857425,286.8873048337319,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1999.9986255258025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,00:00.500,0.2231882521134898,-0.007065411168971188,0.06182495862498125,-0.13744741975360728
00:00.550,-0.047354299509779735,0.17885537408512778,0.02550570715326908,287.14543143291024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2000.0032918851807,0.0,0.0,0.0,0.0,0.0,0.0,0.0,00:00.550,-0.047354299509779735,0.17885537408512778,0.07622300940859433,0.3291885180791011
00:00.600,0.014858430691592145,0.007701531342029878,0.19549669537123662,289.1661369637101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2000.002773967672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,00:00.600,0.014858430691592145,0.007701531342029878,0.2324547306555458,0.27739676721049217
00:00.650,0.08169735687081522,0.05791442948812201,-0.08395118730384717,287.95822113539066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2000.0003768850495,0.0,0.0,0.0,0.0,0.0,0.0,0.0,00:00.650,0.08169735687081522,0.05791442948812201,-0.18408210361416927,0.03768850494158488
